ID,Bezeichner,Footprint,Stückzahl,Bezeichnung,Anbieter und Referenz
1,"C5, C6, C7, C8, C9, C10, C13, C16, C17, C18, C19",C_Disc_D10.5mm_W5.0mm_P10.00mm,11,0.1uF,
2,"C11, C12, C14, C15",C_Disc_D10.5mm_W5.0mm_P10.00mm,4,1uF,
3,C20,C_Disc_D10.5mm_W5.0mm_P10.00mm,1,20pF,
4,"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,SB140,
5,J1,CUI_PJ-202A,1,PJ-202A,
6,J2,DSUB-9_Socket_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,1,DE9_Socket,
7,"R1, R2, R4, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1k,
8,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1M,
9,RV1,"Potentiometer_ACP_CA14-H2,5_Horizontal",1,10k,
10,SW1,SW_PUSH-12mm,1,RESET,
11,U1,DIP-40_W15.24mm_Socket,1,6502,
12,U2,DIP-40_W15.24mm_Socket,1,W65C22NxP,
13,U3,DIP-28_W15.24mm_Socket,1,W65C51NxP,
14,U4,DIP-28_W15.24mm_Socket,1,28C256,
15,U5,DIP-28_W15.24mm_Socket,1,HM62256BLP,
16,U6,N14,1,CD74HC00E,
17,U7,DIP-16_W7.62mm_Socket,1,MAX232,
18,U8,PinHeader_1x16_P2.54mm_Horizontal,1,LCD Module Connector,
19,X1,DIP4_MXO45-3C-1M000000_CTS,1,MXO45-3C-1M000000,
20,Y1,Crystal_HC49-U_Vertical,1,1.8432MHz
